Mood,DateRaw,type,noteMood,date
Neutral,"December 1, 2023 at 07:47PM",mood,,12/2/2023 9:47:00
Neutral,"December 1, 2023 at 08:35PM",mood,,12/2/2023 10:35:00
Nervous,"December 1, 2023 at 08:47PM",mood,,12/2/2023 10:47:00
В магазине не знаю что выбрать,"December 01, 2023 at 09:04PM",note,nervous,12/2/2023 11:04:00
Happy,"December 1, 2023 at 11:27PM",mood,,12/2/2023 13:27:00
Nervous,"December 2, 2023 at 12:22AM",mood,,12/2/2023 14:22:00
Happy,"December 2, 2023 at 12:22AM",mood,,12/2/2023 14:22:00
Happy,"December 2, 2023 at 12:27AM",mood,,12/2/2023 14:27:00
Nervous,"December 02, 2023 at 02:03AM",mood,,12/2/2023 16:03:00
Happy,"December 02, 2023 at 06:49AM",mood,,12/2/2023 20:49:00
Neutral,"December 02, 2023 at 07:57PM",mood,,12/3/2023 9:57:00
Neutral,"December 02, 2023 at 10:20PM",mood,,12/3/2023 12:20:00
Neutral,"December 02, 2023 at 11:05PM",mood,,12/3/2023 13:05:00
Neutral,"December 2, 2023 at 11:24PM",mood,,12/3/2023 13:24:00
Nervous,"December 3, 2023 at 01:01AM",mood,,12/3/2023 15:01:00
Nervous,"December 3, 2023 at 01:15AM",mood,,12/3/2023 15:15:00
Happy,"December 3, 2023 at 02:02AM",mood,,12/3/2023 16:02:00
Happy,"December 3, 2023 at 02:23AM",mood,,12/3/2023 16:23:00
Neutral,"December 3, 2023 at 02:40AM",mood,,12/3/2023 16:40:00
Nervous,"December 3, 2023 at 02:42AM",mood,,12/3/2023 16:42:00
Happy,"December 03, 2023 at 04:58AM",mood,,12/3/2023 18:58:00
Happy,"December 3, 2023 at 05:14AM",mood,,12/3/2023 19:14:00
Happy,"December 3, 2023 at 05:17AM",mood,,12/3/2023 19:17:00
Happy,"December 3, 2023 at 05:58AM",mood,,12/3/2023 19:58:00
Happy,"December 3, 2023 at 05:59AM",mood,,12/3/2023 19:59:00
Квиз,"December 03, 2023 at 06:39AM",note,happy,12/3/2023 20:39:00
Happy,"December 3, 2023 at 06:55AM",mood,,12/3/2023 20:55:00
Happy,"December 3, 2023 at 07:47AM",mood,,12/3/2023 21:47:00
Neutral,"December 3, 2023 at 06:05PM",mood,,12/4/2023 8:05:00
Nervous,"December 3, 2023 at 07:07PM",mood,,12/4/2023 9:07:00
Nervous,"December 3, 2023 at 08:13PM",mood,,12/4/2023 10:13:00
Nervous,"December 3, 2023 at 08:46PM",mood,,12/4/2023 10:46:00
Happy,"December 3, 2023 at 09:39PM",mood,,12/4/2023 11:39:00
Happy,"December 3, 2023 at 09:39PM",mood,,12/4/2023 11:39:00
Happy,"December 03, 2023 at 10:29PM",mood,,12/4/2023 12:29:00
Neutral,"December 4, 2023 at 02:12AM",mood,,12/4/2023 16:12:00
Neutral,"December 4, 2023 at 02:12AM",mood,,12/4/2023 16:12:00
Neutral,"December 4, 2023 at 02:38AM",mood,,12/4/2023 16:38:00
Happy,"December 4, 2023 at 02:46AM",mood,,12/4/2023 16:46:00
Nervous,"December 4, 2023 at 03:06AM",mood,,12/4/2023 17:06:00
